,ID,precipitation,temperature,elevation,evi,lai,ndvi,slope,TPI,wetness.twi,ruggedness.TRI,BK1000,Geology,Landuse,Bezirk,x,y,PROBEN_ID,BODENTYP,BODENART,POT,PUT,sand,silt,clay
5133,3011,841.590515136719,7.33618593215942,504.070770263672,0.288189828395844,1.35448527336121,0.521828711032867,0.0503971911966801,1.38941967487335,6.94091606140137,13.5403738021851,143840,87132,4,86174,670647.030283563,5538528.01755993,B6034AB00003300003,s2BB\CF,Lt2,3.0,25.0,40.3,31.2,28.6
5137,6237,835.157043457031,8.2486743927002,382.652404785156,0.36034694314003,2.38853240013123,0.664655208587647,0.0449146591126919,-0.708649516105652,7.04052352905273,13.4312343597412,142048,105051,3,85208,670701.958232105,5483079.7127821,B6534AB00002500001,SS-BB,Lu,0.0,10.0,17.0,56.0,27.0
5138,1702,906.258056640625,7.31136608123779,529.385070800781,0.30001312494278,2.29097414016724,0.673178315162659,0.0882920250296593,2.1894588470459,4.91311120986939,38.5581855773926,143840,124786,4,86174,670745.904707774,5573397.86989852,B5734AB00000600002,BBn,Ls3,1.0,8.0,47.3,35.0,17.7
5145,6238,774.930053710938,7.93267774581909,389.604583740234,0.335633963346481,1.92497396469116,0.616806328296661,0.36862125992775,-3.14750099182129,4.26410722732544,45.4581527709961,143840,87132,4,86174,670914.486611512,5521866.46615504,B6134AB00000800001,BB-RR,Tu3,0.0,11.0,7.3,52.0,40.0
5146,2903,870.864379882813,7.21709775924683,465.732360839844,0.33900648355484,1.9708753824234,0.624926865100861,0.351663649082184,0.860152721405029,4.47230243682861,46.6033973693848,143840,114554,4,86174,670919.145451868,5541971.47289893,B5934AB00005300004,p2BBn,St2,0.0,2.0,84.1,9.0,7.0
5147,2904,870.864379882813,7.21709775924683,465.732360839844,0.33900648355484,1.9708753824234,0.624926865100861,0.351663649082184,0.860152721405029,4.47230243682861,46.6033973693848,143840,114554,4,86174,670919.145451868,5541971.47289893,B5934AB00005300005,p2BBn,Sl3,2.0,10.0,78.5,13.0,8.6
5148,1906,916.344543457031,7.0689959526062,553.951599121094,0.292337626218796,1.83884823322296,0.547560334205627,0.117472037672997,2.36121511459351,4.90434885025024,38.3783683776856,143840,124786,2,86174,671029.513008949,5575796.08782517,B5634AB00001500001,BBn,Tu3,0.0,28.0,19.4,50.2,30.4
5152,579,857.333435058594,7.9358696937561,440.014770507813,0.228972211480141,3.23864579200745,0.412391990423203,0.0159189011901617,0.512942373752594,8.04238128662109,4.38915920257568,142048,105051,1,85208,671065.892974314,5472426.48471866,B6634AB00000700001,BBh,Ls3,0.0,30.0,45.8,31.5,22.7
5157,2910,844.0224609375,7.28482151031494,488.54443359375,0.276270270347595,1.33820676803589,0.455600172281265,0.0259665176272392,1.13890099525452,7.40556001663208,10.3028135299683,143840,87132,2,86174,671187.733170636,5538769.87437445,B6034AB00001800001,vBB-RZ,Lt3,0.0,15.0,20.8,37.6,41.6
5166,7588,1001.40411376953,7.29058933258057,535.548095703125,0.314573049545288,2.50133061408997,0.709265351295471,0.0508135482668877,1.11261665821075,7.59595680236816,6.61367082595825,112112,159685,4,86174,671391.71292822,5510687.33347074,B6234AB00001100003,p4BBn,Ut3,0.0,1.0,13.0,71.0,16.0
5173,7740,1001.40411376953,7.29058933258057,535.548095703125,0.314573049545288,2.50133061408997,0.709265351295471,0.0508135482668877,1.11261665821075,7.59595680236816,6.61367082595825,112112,159685,4,86174,671391.71292822,5510687.33347074,B6234AB00001100004,p4BBn,Ut4,1.0,6.0,12.0,71.0,17.0
5178,4731,839.327941894531,8.04433155059815,431.421142578125,0.346473634243011,1.4110631942749,0.538466036319733,0.0225003492087126,1.11864566802979,7.08223628997803,18.9349117279053,143840,106242,7,86174,671465.705858469,5517345.18539986,B6234AB00000600001,s.vLLn,Us,0.0,18.0,40.3,52.7,7.1
5181,2739,761.872009277344,8.06667327880859,382.963623046875,0.357744336128235,1.64426147937775,0.559136927127838,0.0103832688182592,1.61901497840881,8.62939548492432,24.4873962402344,142048,98443,2,86174,671500.968765414,5545177.19233821,B5934AB00002000001,vBBn,Ls4,0.0,20.0,55.9,23.7,20.5
5183,3074,893.602294921875,7.96758651733398,479.35107421875,0.381801456212997,2.33215308189392,0.673595011234283,0.0652124434709549,2.80320763587952,5.32063102722168,41.0418586730957,142048,114554,3,85208,671523.426520249,5489336.96392661,B6434AB00003800001,p2BBn,Sl3,0.0,30.0,73.7,17.0,9.3
5186,2801,849.503051757813,7.31535387039185,479.261169433594,0.323032319545746,1.90383791923523,0.594484210014343,0.190643295645714,1.15359675884247,4.31613874435425,48.2215919494629,143840,114554,4,86174,671562.234124542,5541657.03347014,B5934AB00002700004,PPn,St2,0.0,4.0,85.2,9.1,5.8
5187,2802,849.503051757813,7.31535387039185,479.261169433594,0.323032319545746,1.90383791923523,0.594484210014343,0.190643295645714,1.15359675884247,4.31613874435425,48.2215919494629,143840,114554,4,86174,671562.234124542,5541657.03347014,B5934AB00002700005,PPn,Sl2,4.0,11.0,80.2,14.0,5.7
5191,2804,819.817199707031,7.49991512298584,417.975128173828,0.353579044342041,1.62783324718475,0.556236922740936,0.0881846770644188,-0.889399111270905,5.20487546920776,21.008846282959,142048,114554,7,86174,671718.050497977,5542013.54819403,B5934AB00002800001,vDDn,Lt2,0.0,22.0,26.4,47.6,25.9
5193,6160,1053.27185058594,7.12549352645874,542.723693847656,0.339636445045471,1.95294284820557,0.603374600410461,0.07813760638237,1.0150318145752,6.86175727844238,17.0354461669922,143840,159685,3,86174,671720.870452397,5506457.37087936,B6334AB00000900003,pBB-SS,Ut3,0.0,0.5,15.0,71.0,13.0
5194,6163,1053.27185058594,7.12549352645874,542.723693847656,0.339636445045471,1.95294284820557,0.603374600410461,0.07813760638237,1.0150318145752,6.86175727844238,17.0354461669922,143840,159685,3,86174,671720.870452397,5506457.37087936,B6334AB00000900004,pBB-SS,Ut4,0.5,1.5,15.0,66.0,19.0
5195,6165,1053.27185058594,7.12549352645874,542.723693847656,0.339636445045471,1.95294284820557,0.603374600410461,0.07813760638237,1.0150318145752,6.86175727844238,17.0354461669922,143840,159685,3,86174,671720.870452397,5506457.37087936,B6334AB00000900005,pBB-SS,Ut4,1.5,22.0,16.0,65.0,19.0
5200,626,910.141235351563,7.59978342056274,528.469421386719,0.301141709089279,2.47025370597839,0.72388106584549,0.231444448232651,1.91704654693604,4.11359405517578,27.0751914978027,142048,114554,4,85208,671775.859213278,5466650.50852175,B6634AB00001600002,p3BBn,St2,-1.0,0.0,84.6,7.4,8.0
5201,2806,804.619262695313,7.58892965316773,412.983032226563,0.344134449958801,1.58204817771912,0.541118443012238,0.0321647003293037,-0.743912398815155,5.91259050369263,14.6525058746338,142048,105051,2,86174,671801.154689018,5542187.01063256,B5934AB00002900001,BB-RR,Tu2,0.0,25.0,14.6,39.8,45.6
5203,2808,801.070495605469,7.61066722869873,413.573852539063,0.345778584480286,1.5617219209671,0.542919158935547,0.0179599523544312,-0.677231431007385,6.78058815002441,14.0506563186646,142048,105051,2,86174,671829.123434856,5542238.17057778,B5934AB00003000001,vBB-DD,Lt3,0.0,21.0,15.5,41.8,42.7
5205,581,876.213256835938,7.83275842666626,431.805725097656,0.389506638050079,1.7985600233078,0.604648530483246,0.0158722549676895,-0.667438864707947,7.58001136779785,7.74805450439453,142048,114554,1,85208,671874.485984651,5469456.46123607,B6634AB00000800001,xDDn,Tu2,0.0,8.0,11.2,42.3,46.5
5208,3088,949.119995117188,7.64767217636108,476.301879882813,0.382994562387466,1.80148327350616,0.612137675285339,0.271203219890595,1.83967804908752,5.14661073684692,45.2052459716797,143840,114554,4,85208,671894.373693786,5489822.09388882,B6434AB00004600001,vBBn,Ls4,0.0,20.0,59.8,17.8,22.4
5211,3002,829.113708496094,7.53301906585693,524.194580078125,0.319141149520874,1.31287467479706,0.488407164812088,0.0050126542337238,1.71918272972107,8.64546775817871,31.5519351959229,143840,87132,2,86174,672013.805925108,5535390.47891046,B6034AB00002100001,RRn,Ls4,0.0,8.0,47.7,27.5,24.9
5221,6883,999.985778808594,7.39660215377808,555.739807128906,0.307530492544174,1.77191853523254,0.513549327850342,0.0011458205990493,3.57856941223145,8.75586318969727,13.5368003845215,143840,87132,2,85208,672283.31172697,5490357.97971159,B6434AB00004200001,vBB-SS,Ls4,0.0,20.0,53.0,27.0,19.0
